volcano_id,start_date,end_date
211070,06-1831,08-1831
211071,10-1891,10-1891
212040,08-1925,05-1926
212040,08-1939,07-1941
212040,01-1928,03-1928
212040,01-1866,10-1870
212040,01-1950,02-1950
212050,06-1873,09-1873
221010,09-2007,06-2008
221020,12-2011,01-2012
221020,09-2013,11-2013
221041,01-2011,01-2011
221060,11-2008,12-2008
221080,07-1967,12-2024
221100,05-1861,10-1861
221101,06-2011,06-2012
221112,06-1907,08-1907
221113,09-2005,09-2005
221115,08-2007,08-2007
221115,06-2009,07-2009
221126,11-1978,11-1978
222120,01-1983,09-1993
222120,01-1882,01-1883
222120,07-1967,09-1967
222120,06-2007,10-2010
222120,09-2016,10-2016
222120,06-2011,07-2014
222120,04-2017,12-2024
222120,09-1994,07-2006
222120,06-2015,08-2015
222120,07-1954,09-1954
222120,12-1916,06-1917
222120,03-1960,11-1966
222120,01-1907,08-1910
222120,01-1955,01-1955
222120,07-1940,02-1941
222120,08-1914,01-1915
222160,10-1910,12-1910
223020,02-1954,05-1954
223020,12-1981,01-1982
223020,03-1948,07-1948
223020,01-1980,02-1980
223020,07-2002,09-2002
223020,09-1991,02-1993
223020,05-2004,05-2004
223020,02-2001,04-2001
223020,11-1907,12-1907
223020,04-1907,05-1907
223020,01-2000,02-2000
223020,07-1986,08-1986
223020,04-2018,12-2024
223020,10-1998,10-1998
223020,12-1987,01-1988
223020,12-1996,12-1996
223020,04-1989,08-1989
223020,07-1905,09-1905
223020,07-1951,07-1951
223020,07-1994,08-1994
223020,11-1951,01-1952
223020,02-1984,03-1984
223020,01-1938,06-1940
223020,04-1904,05-1904
223020,03-1971,05-1971
223020,01-2010,01-2010
223020,11-2011,03-2012
223020,08-1958,11-1958
223020,11-2006,12-2006
223020,01-1921,01-1938
223020,04-1967,05-1967
223020,05-1909,05-1909
223020,11-2016,05-2017
223020,06-2014,05-2016
223020,12-1976,06-1977
223020,11-1956,11-1956
223020,12-1912,04-1913
223030,01-1920,01-1921
223030,01-2002,02-2002
223030,05-2002,10-2024
223030,06-1982,10-1982
223030,01-1977,01-1977
223030,03-1927,01-1977
223030,08-1911,10-1911
223030,06-1994,03-1996
223050,08-1957,08-1957
224010,05-1989,05-1989
224010,02-1922,08-1922
224010,04-1909,06-1909
224010,01-1959,03-1959
224010,05-2000,09-2000
224010,10-1982,11-1982
224010,06-1954,07-1954
224010,03-1999,04-1999
233005,07-2018,08-2019
233010,04-2005,04-2005
233010,01-2007,01-2007
233010,04-1948,06-1948
233010,03-1910,03-1910
233010,05-2006,06-2006
233010,11-2005,12-2005
233010,08-1918,08-1918
233010,02-1952,02-1952
233010,07-1965,07-1965
233010,02-1904,04-1904
233010,04-1977,04-1977
233010,07-1991,07-1991
233010,09-1972,10-1972
233010,03-1883,01-1884
233020,05-1952,07-1952
233020,09-2008,02-2009
233020,08-1902,08-1902
233020,01-1931,08-1931
233020,11-1932,11-1932
233020,11-1910,12-1910
233020,11-1850,11-1850
233020,06-1933,04-1934
233020,06-1972,01-1973
233020,05-1958,09-1958
233020,05-1930,05-1930
233020,07-2006,05-2007
233020,11-1975,04-1976
233020,09-1957,11-1957
233020,11-1976,11-1976
233020,08-1937,11-1937
233020,03-1977,04-1977
233020,10-2005,01-2006
233020,05-2015,10-2015
233020,10-1977,11-1977
233020,05-1973,09-1973
233020,12-1929,12-1929
233020,01-1897,01-1897
233020,11-2009,01-2010
233020,02-2015,02-2015
233020,02-1901,02-1901
233020,05-1900,05-1900
233020,11-1963,11-1963
233020,06-2014,06-2014
233020,01-1960,03-1960
233020,06-1920,10-1920
233020,07-1915,11-1915
233020,04-1964,05-1964
233020,11-1921,12-1921
233020,02-2005,02-2005
233020,02-1899,07-1899
233020,03-1959,08-1959
233020,05-1924,05-1924
233020,09-1924,09-1924
233020,12-1925,04-1926
233020,07-1913,08-1913
233020,10-2010,12-2010
233020,03-1844,05-1844
233020,09-1926,06-1927
233020,01-1898,01-1898
233020,03-1966,05-1966
233020,12-1964,02-1965
233020,07-1938,07-1938
233020,02-1890,02-1891
233020,08-1992,09-1992
233020,02-1865,02-1865
233020,07-1999,10-1999
233020,11-1986,02-1987
233020,01-1954,12-1954
233020,06-1987,07-1987
233020,11-1987,12-1988
233020,03-1998,09-1998
233020,02-1948,03-1948
233020,04-1961,04-1961
233020,08-1904,10-1904
233020,07-1986,07-1986
233020,06-1871,07-1871
233020,08-1950,09-1950
233020,01-1990,05-1990
233020,03-1953,07-1953
233020,03-1878,03-1878
233020,02-1905,02-1905
233020,09-1951,09-1951
233020,06-1874,11-1874
233020,07-1991,07-1991
233020,12-1876,12-1876
233020,11-1875,12-1875
233020,02-1950,04-1950
233020,12-1938,01-1939
233020,02-1884,02-1884
233020,06-1946,07-1946
233020,10-1942,10-1942
233020,05-2004,10-2004
233020,03-1943,05-1943
233020,11-1858,01-1859
233020,05-1859,05-1859
233020,05-2003,01-2004
233020,01-1860,03-1860
233020,11-2002,12-2002
233020,05-1979,07-1979
233020,03-1861,03-1861
233020,02-2000,03-2000
233020,07-1955,03-1957
233020,04-1944,05-1944
233020,01-2002,01-2002
233020,11-1907,12-1907
233020,04-1945,05-1945
233020,12-1863,01-1864
233020,03-2001,07-2001
233020,02-1981,05-1981
233020,12-1983,02-1984
233020,06-2000,11-2000
233020,06-1985,04-1986
233020,06-1889,08-1889
233020,07-1901,07-1901
233020,04-1917,04-1917
233020,07-2023,08-2023
233020,02-2019,03-2019
233020,09-2022,10-2022
233020,05-2016,05-2016
233020,09-1814,10-1814
233020,09-2016,09-2016
233020,02-2020,04-2020
233020,11-1800,11-1800
233020,11-1810,11-1810
233020,08-1815,08-1815
233020,07-2017,08-2017
233020,06-2019,10-2019
233020,07-1809,08-1809
233020,12-2021,01-2022
233020,01-2017,02-2017
233020,12-2020,12-2020
233020,03-1807,06-1807
233020,04-2018,11-2018
233020,01-1820,02-1820
233020,04-2021,05-2021
233020,10-1801,04-1802
233020,01-1815,01-1815
233020,01-1817,04-1817
233020,02-1821,04-1821
233020,08-1812,12-1812
233020,09-1813,11-1813
234010,01-1950,03-1952
234010,06-2003,06-2004
234010,01-1985,01-1987
234010,08-1953,11-1953
234010,09-2012,12-2024
234010,03-2000,02-2001
234010,04-1954,06-1954
234010,03-2006,03-2008
234010,03-1910,04-1910
234011,12-1996,02-1997
234070,06-2004,06-2004
241040,03-1998,03-1998
241040,04-2016,04-2016
241040,09-1928,09-1928
241040,02-2001,02-2001
241040,12-1976,01-1982
241040,02-1986,07-1994
241040,12-1959,12-1959
241040,08-2012,10-2013
241040,07-1971,07-1971
241040,12-1983,02-1984
241040,05-2024,12-2024
241040,08-1969,09-1969
241040,12-2019,12-2019
241040,01-1968,02-1969
241040,08-1998,08-1999
241040,11-1966,03-1967
241040,09-2016,09-2016
241040,03-2000,09-2000
241040,09-1886,12-1886
241040,06-1995,06-1995
241050,05-1981,05-1981
241050,06-1886,08-1886
241050,02-1978,02-1978
241050,01-1913,01-1913
241050,10-1908,10-1908
241050,02-1973,02-1973
241050,06-1905,06-1905
241050,11-1926,11-1926
241050,01-1914,02-1914
241050,02-1906,02-1906
241050,11-1915,11-1915
241050,02-1915,04-1915
241050,07-1910,07-1910
241050,02-1905,02-1905
241050,01-1918,01-1920
241050,01-1900,11-1904
241050,03-1917,04-1917
241080,01-1956,02-1956
241080,12-1934,02-1935
241080,11-1952,07-1953
241080,11-1896,12-1896
241080,11-2012,11-2012
241080,02-1839,03-1839
241080,11-1958,11-1958
241080,12-1864,01-1865
241080,05-1954,06-1955
241080,02-1892,03-1892
241080,10-1844,01-1845
241080,08-2012,08-2012
241080,03-1972,06-1972
241080,02-1949,03-1949
241080,11-1972,08-1974
241080,04-1948,05-1948
241080,07-1977,07-1977
241080,03-1909,07-1909
241080,02-1907,05-1907
241080,02-1975,02-1975
241080,11-1892,12-1892
241080,08-1976,08-1976
241080,01-1863,04-1864
241080,02-1857,03-1857
241080,10-1910,01-1911
241080,09-1940,10-1940
241080,10-1924,11-1924
241080,01-1885,01-1887
241080,10-1917,11-1917
241080,09-1914,10-1914
241080,01-1924,01-1924
241080,11-1925,12-1925
241080,12-1926,12-1926
241080,04-1870,08-1870
241080,04-1926,06-1926
241080,02-1931,05-1931
241100,08-1987,08-1987
241100,10-1984,12-1984
241100,05-1985,06-1985
241100,03-1895,03-1895
241100,07-1989,09-1989
241100,12-1988,03-1989
241100,09-1970,09-1970
241100,09-1976,11-1976
241100,11-1985,11-1985
241100,06-1969,06-1969
241100,01-1995,11-1995
241100,06-1950,06-1950
241100,04-1971,11-1971
241100,10-1975,10-1975
241100,04-1968,06-1968
241100,02-1986,02-1986
241100,04-1975,04-1975
241100,10-1997,10-1997
241100,03-1988,05-1988
241100,10-1973,10-1974
241100,10-1972,01-1973
241100,03-1945,12-1945
241100,04-1946,06-1946
241100,11-1946,05-1947
241100,03-1976,03-1976
241100,06-1996,09-1996
241100,07-1977,01-1979
241100,11-1956,11-1956
241100,06-1979,07-1979
241100,12-1934,02-1935
241100,09-2007,09-2007
241100,10-2006,10-2006
241100,06-1990,09-1990
241100,10-1980,11-1980
241100,01-1980,03-1980
241100,10-1981,04-1982
241100,07-1991,07-1991
241100,04-1966,09-1966
241100,01-1990,01-1990
241100,05-1959,08-1959
241100,02-1992,03-1992
241100,07-1967,10-1967
241100,05-1936,05-1936
241130,07-1958,07-1962
241130,10-1973,10-1973
241130,01-1963,12-1966
241130,06-1986,08-1986
242005,07-2012,07-2012
242030,11-1964,04-1965
242030,06-1870,10-1870
242030,03-2006,03-2006
242050,05-1982,05-1982
242050,12-2006,11-2007
242050,05-2011,05-2011
242050,05-2002,05-2002
242050,04-1997,04-1997
242050,06-1986,06-1986
242050,10-2014,11-2014
242050,06-1999,06-1999
242050,11-2002,11-2002
242050,04-2003,09-2004
242050,04-1977,04-1977
242050,01-1980,01-1980
242050,02-1978,07-1978
242050,01-2014,01-2014
242050,12-1997,02-1998
242050,08-2012,08-2012
242050,10-1977,10-1977
242050,05-1990,03-1991
242050,05-2009,12-2009
242050,09-1988,09-1988
242050,02-1979,04-1979
242050,03-2005,06-2006
242050,02-2008,02-2008
242050,09-1996,09-1996
242050,11-1995,11-1995
243030,01-2017,01-2017
243030,01-1999,01-1999
243040,12-2014,01-2015
243040,12-2021,01-2022
243040,06-1988,06-1988
243040,03-2009,03-2009
243050,10-1927,09-1928
243050,10-1885,01-1886
243060,03-2004,10-2014
243060,12-1958,07-1960
243060,10-2015,12-2024
243060,01-1906,02-1906
243070,05-1979,07-1979
243070,12-1967,01-1968
243070,10-2019,10-2019
243070,06-1995,06-1995
243080,08-2006,08-2006
243080,10-2023,10-2023
243080,06-2024,07-2024
243080,03-1984,03-1984
243080,09-2022,10-2022
243080,12-2024,12-2024
243091,08-2019,08-2019
243091,09-2001,09-2001
243100,06-1846,10-1846
243102,07-1973,07-1973
243110,09-1946,09-1946
243110,06-1853,06-1853
243110,09-1943,10-1943
243110,08-1886,09-1886
243110,07-1929,07-1929
243110,12-1935,02-1936
243120,11-2008,11-2008
243130,11-2008,05-2009
244000,07-1973,07-1973
244000,01-1995,01-1995
244010,09-1866,11-1866
244040,08-1905,11-1911
244040,10-1902,11-1902
250010,06-1953,01-1957
250030,01-1972,01-1972
251002,01-2018,05-2023
251010,04-1960,07-1960
251010,04-1959,10-1959
251010,03-1958,04-1958
251010,08-1954,01-1957
251010,09-1958,09-1958
251010,10-1957,10-1957
251010,04-1909,09-1909
251020,03-1926,03-1928
251020,11-1963,04-1964
251020,07-1965,01-1966
251020,05-1954,06-1954
251020,09-1936,01-1939
251020,10-1904,10-1904
251020,12-1920,03-1921
251020,04-1953,08-1953
251020,10-1877,11-1877
251020,06-2000,06-2000
251020,12-1956,08-1958
251020,10-2004,12-2009
251020,01-1932,01-1934
251020,06-1887,01-1895
251020,01-2002,05-2002
251020,10-2003,03-2004
251020,06-2014,01-2018
251020,06-1959,07-1959
251020,05-2003,05-2003
251020,08-2010,12-2013
251020,12-1946,09-1947
251020,01-1909,01-1914
251020,07-1961,09-1961
251020,05-2018,12-2024
251020,06-2001,06-2001
251020,02-1963,05-1963
251020,12-1959,12-1960
251020,03-1974,11-1999
251030,12-1974,06-1975
251030,06-1895,08-1895
251030,01-1979,08-1979
251030,02-1974,08-1974
251050,04-1973,02-1974
251050,11-1993,11-1993
251050,06-1955,06-1955
251050,03-1968,06-1968
251050,05-1953,01-1954
251070,10-1972,10-1972
251070,10-2006,10-2006
251070,05-2007,05-2007
251070,02-1887,02-1887
251070,03-1888,03-1888
251070,10-1974,10-1974
252010,10-2015,12-2024
252010,12-1960,09-1961
252010,03-1956,03-1956
252010,08-2006,07-2008
252010,03-1962,08-1963
252010,04-1958,06-1958
252010,02-1973,10-2000
252010,01-1967,06-1968
252010,05-1970,09-1970
252010,12-2012,12-2012
252010,01-1971,07-1972
252010,01-2004,01-2004
252010,05-2002,04-2003
252010,11-2004,12-2004
252010,09-1969,09-1969
252010,05-1954,11-1954
252010,09-2009,02-2010
252010,06-1955,06-1955
252010,04-2005,03-2006
252010,02-1955,02-1955
252010,12-1964,09-1966
252070,07-2008,10-2008
252070,10-2005,11-2005
252070,03-2008,03-2008
252080,05-2012,07-2012
252080,08-2007,08-2007
252080,08-2002,03-2003
252080,07-1933,08-1933
252080,01-1911,05-1918
252120,07-1960,11-1962
252120,08-2001,08-2001
252120,04-2003,10-2003
252120,10-1999,10-1999
252120,08-2002,11-2002
252120,06-2017,11-2017
252120,10-1973,10-1973
252120,11-1985,11-1985
252120,01-1993,01-1993
252120,01-1970,02-1970
252120,11-1983,03-1984
252120,09-2018,10-2018
252120,03-2005,08-2005
252120,01-1967,12-1967
252120,09-2000,11-2000
252120,04-1994,06-1994
252120,04-2004,04-2004
252120,05-1978,05-1978
252120,08-1984,09-1984
252120,01-2001,05-2001
252120,03-1963,05-1963
252120,12-1984,01-1985
252120,10-1980,10-1980
252120,01-1989,12-1989
252120,06-2019,10-2019
252120,06-2018,06-2018
252120,03-2006,01-2007
252120,07-2021,11-2021
252120,06-2022,06-2022
252120,05-2010,05-2011
252120,01-1941,01-1941
252120,05-2012,05-2012
252120,11-2012,12-2012
252120,07-2023,12-2023
252120,07-2013,12-2013
252120,10-2016,11-2016
252120,05-2007,05-2007
252120,03-2023,03-2023
252120,07-1927,09-1927
252130,08-1904,10-1905
252130,01-1911,01-1912
252140,06-1941,03-1942
252140,09-1994,04-1995
252140,01-2013,03-2014
252140,11-1995,09-2001
252140,02-1940,05-1940
252140,10-2002,02-2004
252140,11-1943,12-1943
252140,03-2011,08-2011
252140,01-2005,02-2006
252140,07-2014,09-2014
252140,08-2006,01-2010
252140,07-2010,07-2010
252140,05-1937,06-1937
252140,01-1878,02-1878
253010,01-1951,07-1956
253030,01-1890,01-1935
253040,09-1943,08-1944
255020,12-1948,12-1951
255020,03-1966,11-1967
255020,01-1894,01-1895
255020,01-1945,01-1947
255020,06-1953,09-1953
255020,08-1968,08-1968
255020,04-1964,07-1965
255020,05-1970,08-1971
255020,01-1865,01-1883
255020,02-1952,10-1952
255020,07-1959,05-1960
255020,02-1962,07-1963
255020,02-2000,11-2024
255020,07-1972,07-1995
255060,10-1969,02-1970
255060,04-1952,01-1953
255060,12-1985,02-1986
255060,07-1977,07-1977
255060,03-1966,03-1966
255060,06-1978,07-1978
255060,05-1991,09-1991
255060,10-1980,02-1981
255060,11-1999,08-2003
255060,01-1997,01-1997
255060,07-1986,07-1986
255060,04-1982,06-1982
255060,02-1999,05-1999
255060,01-2014,01-2014
255060,11-1974,12-1974
255060,12-1965,12-1965
255060,08-1976,10-1976
255060,12-1963,01-1964
255060,11-1958,12-1958
255060,04-2007,04-2007
255060,01-1962,02-1962
255070,01-1835,01-1847
256010,06-1984,06-1985
256010,10-2017,10-2017
256010,10-1951,11-1951
256010,08-1989,02-1990
256010,09-2008,11-2008
256010,09-1971,12-1971
256010,02-2000,05-2001
256010,12-2018,12-2024
256010,02-2006,11-2007
256010,11-1965,06-1966
257010,08-1965,07-1966
257020,09-2011,10-2011
257020,09-2009,06-2010
257020,11-2021,11-2021
257020,04-1977,04-1977
257020,09-1965,09-1965
257020,10-1973,01-1974
257020,05-2022,05-2022
257020,07-1981,07-1981
257020,05-1971,05-1971
257020,04-1982,04-1982
257020,09-1963,11-1963
257020,07-1968,12-1968
257030,09-2017,10-2018
257030,11-2005,02-2006
257030,06-2011,07-2011
257030,06-2024,06-2024
257030,03-1995,03-1995
257030,12-2023,12-2023
257030,02-2023,05-2023
257030,12-2021,08-2022
257040,08-1977,09-1977
257040,03-1937,04-1937
257040,12-1950,11-1951
257040,02-1971,11-1971
257040,01-1979,02-1979
257040,08-1957,10-1957
257040,10-1894,02-1895
257040,08-1963,09-1963
257040,04-1972,08-1972
257040,02-1964,09-1966
257040,01-1863,01-1864
257040,06-1979,09-1979
257040,01-1977,01-1977
257040,02-1888,04-1888
257040,10-1913,01-1914
257040,11-1986,11-1986
257040,05-1953,10-1953
257040,04-1989,12-1989
257040,05-2008,12-2018
257040,06-1996,08-2005
257040,07-1967,08-1970
257040,01-2024,01-2024
257040,02-1988,08-1988
257040,01-2022,02-2022
257040,07-1984,03-1986
257040,09-1990,07-1991
257040,08-1952,12-1952
257040,02-1981,09-1981
257040,08-1961,04-1963
257040,04-1973,10-1976
257040,09-1935,01-1936
257040,11-2006,12-2007
257040,10-2024,11-2024
257040,05-1980,08-1980
257040,06-1929,07-1929
257050,01-1974,10-1974
257050,01-1883,01-1884
257050,07-1963,07-1965
257050,04-1980,08-1980
257050,06-1922,07-1922
257050,10-1892,01-1893
257050,07-1979,09-1979
257050,04-2007,05-2007
257050,05-1976,09-1976
257050,07-1998,04-2000
257050,06-2001,06-2001
257050,10-1982,10-1982
257050,07-1962,07-1962
257050,11-1978,03-1979
257050,03-1975,06-1975
257050,07-1960,09-1960
257050,06-1898,07-1898
257050,01-2005,03-2005
257050,05-1970,08-1972
257050,10-2005,08-2006
257050,09-2004,09-2004
257050,01-1967,03-1969
257050,06-2003,06-2003
257060,09-1958,11-1958
257060,02-2004,02-2004
257060,01-2023,02-2023
257060,03-2002,03-2002
257060,02-1953,02-1953
257070,09-1959,09-1959
257070,02-1971,02-1971
257070,01-1923,01-1925
257070,10-1958,12-1958
257070,05-1897,01-1901
257070,09-1948,09-1948
257070,02-1974,09-1974
257070,10-1952,10-1952
257070,10-1949,12-1949
258001,02-1996,02-1996
260010,05-2005,12-2007
260010,12-1994,06-1995
260010,04-1991,10-1991
260010,03-2015,05-2016
260010,05-2008,04-2010
260010,01-2017,03-2017
260010,11-1803,01-1804
260010,12-2022,08-2023
260010,03-2024,05-2024
260010,02-2013,02-2013
260010,09-2018,01-2022
260010,10-2013,06-2014
260010,09-2010,06-2011
261020,01-1839,01-1839
261030,01-1918,01-1921
261030,03-1999,04-1999
261030,12-2000,12-2000
261030,04-1998,04-1998
261050,01-1839,01-1839
261080,02-2019,06-2019
261080,08-2010,09-2010
261080,09-2013,06-2018
261080,08-2020,09-2021
261120,05-1917,05-1917
261120,07-1986,07-1986
261120,01-1893,01-1893
261140,04-1930,12-1930
261140,06-1958,06-1958
261140,06-1883,08-1883
261140,04-2001,06-2001
261140,08-2004,08-2004
261140,09-2012,09-2012
261140,02-1888,03-1888
261140,02-2014,02-2014
261140,11-1984,11-1984
261140,04-2018,05-2018
261140,02-1927,08-1927
261140,10-1958,10-1958
261140,01-1833,01-1834
261140,06-1913,07-1913
261140,04-1999,09-1999
261140,03-1889,04-1889
261140,10-1855,01-1856
261140,04-1967,07-1967
261140,01-1987,08-1994
261140,12-1883,12-1883
261140,03-2000,04-2000
261140,03-2012,05-2012
261140,03-1982,05-1982
261140,04-1949,04-1949
261140,12-2023,12-2024
261140,12-1982,12-1982
261140,07-1822,07-1822
261140,08-2011,10-2011
261140,09-1950,06-1952
261140,06-2017,06-2017
261140,02-1919,03-1919
261140,12-1907,09-1908
261140,08-1876,06-1877
261140,11-2015,11-2015
261140,03-1918,03-1918
261140,06-1929,06-1929
261140,03-1966,06-1966
261140,08-1918,08-1918
261140,04-1904,04-1904
261140,01-2023,03-2023
261140,06-1917,09-1917
261140,05-1916,07-1916
261140,08-1954,12-1957
261140,01-1975,09-1979
261140,11-1845,11-1845
261140,03-1886,05-1886
261140,07-1970,08-1971
261140,10-1949,10-1949
261140,07-1973,07-1973
261150,04-1924,04-1924
261150,02-1889,12-1889
261160,11-2007,12-2007
261160,03-2007,06-2007
261160,09-1968,10-1968
261160,01-1968,01-1968
261160,10-1967,10-1967
261160,09-2001,11-2001
261160,09-2006,09-2006
261160,04-2005,07-2005
261170,07-1998,07-1998
261170,10-2022,02-2023
261170,02-1968,03-1968
261170,06-2013,06-2013
261170,03-1887,03-1887
261170,04-2009,06-2009
261170,05-2001,08-2002
261170,06-2004,10-2004
261170,08-1996,10-1996
261170,09-2007,09-2007
261170,06-1966,06-1966
261170,03-1999,09-1999
261170,09-1923,09-1923
261170,01-1938,03-1938
261170,07-1964,07-1964
261170,05-1921,06-1921
261170,07-1969,07-1970
261170,05-2024,05-2024
261170,11-2016,11-2016
261170,01-1952,06-1952
261170,03-2016,06-2016
261170,10-1908,01-1909
261170,08-1936,08-1936
261170,08-2017,08-2017
261170,04-1936,04-1936
261170,12-2011,12-2011
261170,04-2018,06-2021
261180,05-1921,06-1921
261180,06-1909,07-1909
261220,08-2000,08-2000
261220,01-1873,11-1892
261220,03-1956,03-1956
261220,11-1833,11-1833
261220,04-1952,04-1952
261220,11-1939,03-1941
261220,10-1868,01-1869
261220,03-1950,04-1951
261230,06-1884,07-1884
261230,10-1994,10-1994
261230,11-2024,11-2024
261230,12-1881,12-1881
261230,05-2024,05-2024
261230,04-1926,04-1926
261230,01-2009,01-2009
261230,09-2006,09-2006
261230,04-1921,04-1921
261230,05-1923,05-1923
261230,01-1973,01-1973
261230,07-2023,08-2023
261230,11-2017,11-2017
261230,07-1939,07-1939
261230,12-1939,02-1940
261230,06-1900,06-1900
261230,07-1895,09-1895
261230,11-1936,11-1936
261230,10-1900,10-1900
261230,02-1908,02-1908
261230,05-2022,05-2022
261230,02-1964,02-1964
261230,01-1934,04-1934
261230,02-1974,10-1974
261270,07-1933,08-1933
261270,05-2024,05-2024
262000,05-2000,10-2000
262000,10-2010,09-2012
262000,10-1936,11-1936
262000,03-1975,10-1975
262000,03-1997,05-1997
262000,07-1978,11-1978
262000,01-1941,02-1941
262000,07-1950,07-1950
262000,10-2007,08-2008
262000,02-1999,08-1999
262000,10-2013,10-2013
262000,07-1996,10-1996
262000,08-1937,11-1937
262000,05-1883,10-1883
262000,07-1938,07-1940
262000,07-2001,09-2001
262000,03-2009,09-2009
262000,09-1931,02-1932
262000,02-1988,04-1988
262000,07-1979,11-1979
262000,09-1953,11-1953
262000,03-1980,12-1980
262000,04-1981,10-1981
262000,12-1946,08-1947
262000,12-1959,07-1963
262000,02-2017,02-2017
262000,03-1953,05-1953
262000,06-2018,04-2020
262000,05-2021,12-2023
262000,03-2013,03-2013
262000,12-1927,08-1930
262000,03-2014,03-2014
262000,01-1942,01-1942
262000,03-1994,06-1995
262000,01-1935,07-1935
262000,11-1992,10-1993
262000,10-1958,06-1959
262000,06-1972,07-1973
262000,11-1932,06-1934
262000,10-1952,10-1952
262000,07-1946,07-1946
263040,10-1936,10-1936
263050,01-1902,01-1903
263060,04-1956,04-1956
263060,01-1845,03-1845
263060,11-1948,02-1949
263060,03-1957,03-1957
263060,10-1847,10-1847
263060,09-1947,01-1948
263060,06-1886,08-1886
263060,08-1870,10-1870
263060,11-1840,12-1840
263060,05-1899,05-1899
263060,05-1909,05-1909
263060,10-1887,10-1887
263060,03-1853,03-1853
263060,08-1832,08-1832
263060,05-1852,05-1852
263090,02-1965,03-1965
263090,04-1829,04-1829
263090,01-1957,01-1957
263090,07-1952,07-1952
263090,02-2013,03-2013
263090,07-1967,07-1967
263090,10-1826,10-1826
263090,10-1965,10-1965
263090,07-1969,10-1969
263090,03-1926,07-1926
263090,05-1896,05-1896
263090,04-1910,05-1910
263090,07-2019,09-2019
263090,07-1961,08-1961
263090,10-2013,10-2013
263090,05-1929,05-1929
263100,03-1923,03-1925
263100,11-2002,12-2002
263100,08-1942,08-1942
263130,11-1843,11-1843
263130,05-1828,07-1828
263130,04-1803,04-1803
263130,06-1825,06-1825
263130,10-1847,10-1847
263130,01-1843,01-1843
263130,12-1834,01-1835
263130,10-1818,10-1818
263130,11-1841,11-1841
263130,08-1832,08-1832
263130,05-1840,05-1840
263130,09-1807,09-1807
263140,10-1894,12-1894
263140,01-1984,01-1984
263140,07-1918,07-1918
263140,04-1982,01-1983
263140,10-1822,12-1822
263170,06-1937,01-1938
263170,03-1951,03-1951
263180,11-1955,12-1955
263180,09-1958,11-1958
263180,11-1926,11-1926
263180,02-1927,02-1927
263180,04-1958,05-1958
263180,03-2014,09-2014
263180,07-1988,07-1988
263180,03-1928,05-1928
263180,05-1875,06-1875
263180,06-1929,06-1929
263180,11-1875,12-1875
263180,04-1930,04-1930
263180,08-1953,10-1953
263180,12-1960,01-1961
263180,09-1835,09-1835
263180,07-1932,09-1932
263180,05-1933,05-1933
263180,04-2009,06-2009
263180,06-1951,01-1952
263180,11-1948,12-1948
263180,05-1944,10-1944
263180,10-1943,01-1944
263180,03-1940,04-1940
263180,12-1939,12-1939
263180,07-1904,08-1904
263180,06-1923,06-1923
263180,02-1957,02-1957
263180,03-1860,04-1860
263180,05-1999,09-1999
263180,03-1885,03-1885
263180,08-1890,08-1890
263180,06-1969,08-1969
263180,05-1967,07-1967
