date,eclipse_type,magnitude,duration,region
11-22-1919,Annular,0.92,11m37s,"America's, w Africa, w Europe [Annular: U.S., Cuba, Haiti, Guinea, Senegal, Mauritania, Gambia, Mali]"
05-18-1920,Partial,0.973,,"Australia, Antarctica, s Indian Ocean"
11-10-1920,Partial,0.742,,"ne N America, nw Africa, w Europe"
04-08-1921,Annular,0.975,01m50s,"n Africa, Asia, n Canada, Greenland [Annular: U.K., Norway, Russia]"
10-01-1921,Total,1.029,01m52s,"Antarctica, s S America [Total: Antarctica]"
03-28-1922,Annular,0.938,07m50s,"e S America, Carribean, n Africa, Europe, w Asia [Annular: Peru, Brazil, Senegal, Mali, Mauritania, Algeria, Libya, Egypt, Saudi Arabia]"
09-21-1922,Total,1.068,05m59s,"e Africa, s Asia, Indies, Australia [Total: Ethiopia, Somalia, Indian Ocean, Australia]"
03-17-1923,Annular,0.931,07m51s,"s S America, s Africa, Antarctica [Annular: Chile, Argentina, Nambia, Botswana, Zimbabwe, Mozambique, Madagascar]"
09-10-1923,Total,1.043,03m37s,"N America, C America, Carribean, ne S America, e Asia [Total: U.S., Mexico, Belize]"
03-05-1924,Partial,0.582,,"Antarctica, South Africa, Nambia, Botswana"
07-31-1924,Partial,0.192,,S Pacific
08-30-1924,Partial,0.424,,"Northeast Asia, Greenland, Northern Canada"
01-24-1925,Total,1.03,02m32s,"e America's, nw Africa, w Europe [Total: U.S., Northern Atlantic]"
07-20-1925,Annular,0.944,07m15s,"Australia, New Zealand, New Guinea [Annular: South Pacific]"
01-14-1926,Total,1.043,04m11s,"e Africa, s Asia, Indies, n Australia [Total: C.A.R., Zaire, Uganda, Kenya, Indonesia, Malaysia, Philippines]"
07-09-1926,Annular,0.968,03m51s,"e Asia, ne Australia, w N America [Annular: central Pacific]"
01-03-1927,Annular,0.999,00m03s,"Antarctica, N.Z., sw S America [Annular: New Zealand, Chile, Argentine, Uruguay, Brazil]"
06-29-1927,Total,1.013,00m50s,"n Asia, Europe, n Africa, n N America [Total: U.K., Norway, Sweden, Finland, Russia]"
12-24-1927,Partial,0.549,,Antarctica
06-17-1928,Partial,0.038,,Russia
11-12-1928,Partial,0.808,,"ne Africa, e Europe, Middle East, w Asia"
05-09-1929,Total,1.056,05m07s,"e Africa, se Asia, Indies, Australia [Total: Indonesia, Malaysia, Thailand, Vietnam, Philippines]"
11-01-1929,Annular,0.965,03m54s,"Africa, Europe, Middle East [Annular: W Sahara, Mauritania, Mali, Ghana, Togo, Gabon, Congo, Zaire, Tanzania]"
04-28-1930,Hybrid,1.0,00m01s,"N America, ne Asia [Hybrid: U.S., Canada]"
10-21-1930,Total,1.023,01m55s,"Australia, New Guinea, New Zealand [Total: South Pacific]"
04-18-1931,Partial,0.511,,"e Asia, n Canada, Greenland"
09-12-1931,Partial,0.047,,"Russia, Alaska"
10-11-1931,Partial,0.901,,"s S America, Antarctica"
03-07-1932,Annular,0.928,05m19s,"Antarctica, Australia, s Indies [Annular: Antarctica, Tasmania]"
08-31-1932,Total,1.026,01m45s,"N America, Russia, C America, n S America [Total: Canada, U.S., North Atlantic]"
02-24-1933,Annular,0.984,01m32s,"s S America, Africa, Antarctica [Annular: Chile, Argentina, Congo, Zaire, C.A.R., Sudan, Ethiopia, Djibouti, Yemen]"
08-21-1933,Annular,0.98,02m04s,"ne Africa, c Asia, Indies, Australia [Annular: Middle East, Iran, Afghanistan, Pakistan, India, Myanmar, Indon., Australia]"
02-14-1934,Total,1.032,02m53s,"e Asia, Australia, Alaska [Total: Malaysia, Indonesia, central Pacific]"
08-10-1934,Annular,0.944,06m33s,"s Africa, Antarctica [Annular: Angola, Nambia, Botswana, Zimbabwe, Zambia, Mozambique, S Africa]"
01-05-1935,Partial,0.001,,South Pacific
02-03-1935,Partial,0.739,,"N America, C America"
06-30-1935,Partial,0.338,,"Russia, Canada, Greenland, n Europe"
07-30-1935,Partial,0.231,,"South Atlantic, Antarctica"
12-25-1935,Annular,0.975,01m30s,"Antarctica, s S America [Annular: Antarctica]"
06-19-1936,Total,1.033,02m31s,"Asia, e Europe, n Africa [Total: Greece, Turkey, Russia, Japan]"
12-13-1936,Annular,0.935,07m25s,"Australia, Antarctica, New Zealand [Annular: Australia, New Zealand]"
06-08-1937,Total,1.075,07m04s,"s N America, C America, nw S America [Total: central Pacific, Peru]"
12-02-1937,Annular,0.918,12m00s,"e Asia, w N America, e Indies [Annular: central Pacific]"
05-29-1938,Total,1.055,04m05s,"s S America, s Africa [Total: South Atlantic]"
11-21-1938,Partial,0.778,,"ne Asia, nw N America"
04-19-1939,Annular,0.973,01m49s,"N America, n Europe, Russia [Annular: Alaska, Canada]"
10-12-1939,Total,1.027,01m32s,"Antarctica, Australia, s S America, N.Z. [Total: Antarctica]"
04-07-1940,Annular,0.939,07m30s,"N America, C America, n S America [Annular: central Pacific, Mexico, U.S]"
10-01-1940,Total,1.064,05m35s,"S America, s Africa [Total: Colombia, Venezuela, Brazil, South Africa]"
03-27-1941,Annular,0.935,07m41s,"Antarctica, S America, C America [Annular: South Pacific, Peru, Bolivia, Brazil]"
09-21-1941,Total,1.038,03m22s,"Asia, Indies, Australia, Middle East [Total: Russia, Uzbekistan, Kazkhstan, China]"
03-16-1942,Partial,0.639,,Antarctica
08-12-1942,Partial,0.056,,Antarctica
09-10-1942,Partial,0.523,,"Canada, Greenland, w Europe, n Africa"
02-04-1943,Total,1.033,02m39s,"e Asia, w N America [Total: Russia, Japan, Alaska, Canada]"
08-01-1943,Annular,0.941,06m59s,"Madagascar, Antarctica, Indies, Australia [Annular: s Indian Ocean]"
01-25-1944,Total,1.043,04m09s,"S America, C America, w Africa [Total: Peru, Brazil, Sierra Leone, Guinea, Mali, Niger]"
07-20-1944,Annular,0.97,03m42s,"s Asia, e Africa, Indies, Australia [Annular: Somalia, Ethiopia, India, Myanmar, Thailand, Laos, Vietnam, Phil.]"
01-14-1945,Annular,0.997,00m15s,"Madagascar, Antarctica, Australia, N.Z. [Annular: South Africa, Tasmania]"
07-09-1945,Total,1.018,01m15s,"N America, n Africa, Europe, w Asia [Total: U.S., Canada, Greenland, Norway, Sweden, Finland, Russia]"
01-03-1946,Partial,0.553,,"s S America, Antarctica"
05-30-1946,Partial,0.886,,South Pacific
06-29-1946,Partial,0.18,,"n Europe, n N America"
11-23-1946,Partial,0.776,,"N America, Carribean, n S America"
05-20-1947,Total,1.056,05m13s,"S America, Africa [Total: Chile, Argentina, Paraguay, Brazil, central Africa]"
11-12-1947,Annular,0.965,03m59s,"N & S America [Annular: central Pacific, Peru, Ecuador, Colombia Brazil]"
05-09-1948,Annular,1.0,00m00s,"Asia, Indies, nw N America [Annular: Myanmar, Thailand, Laos, Vietnam, China, Japan]"
11-01-1948,Total,1.023,01m56s,"e Africa, central Indian Ocean [Total: Zaire, Uganda, Kenya, Indian Ocean]"
04-28-1949,Partial,0.609,,"n Africa, Europe, w Asia, n N America"
10-21-1949,Partial,0.964,,"Antarctica, Australia, New Zealand"
09-12-1950,Total,1.018,01m14s,"ne Asia, nw N America [Total: Russia]"
03-07-1951,Annular,0.99,00m59s,"New Zealand, Pacific, s N. America, nw S. America [Annular: New Zealand, Nicaragua]"
09-01-1951,Annular,0.975,02m36s,"e N. America, Caribbean, n S. America, w Europe, Africa [Annular: e US, W. Sahara, Mauritania, Mali, Cote D'Ivoire, Ghana, Congo, Dem. Rep. Congo, Angola, Botswana, Zimbabwe, Mozambique, Madagascar]"
02-25-1952,Total,1.037,03m09s,"Europe, Africa, Asia [Total: Gabon, C. African Rep., Sudan, Saudi Arabia, Iraq, Iran, Turkmenistan, Uzbekistan, Kazakhstan, Russia]"
08-20-1952,Annular,0.942,06m40s,"C. America, S. America [Annular: Peru, Chile, Bolivia, Argentina, Uruguay]"
02-14-1953,Partial,0.76,,"e Asia, Pacific, Alaska"
07-11-1953,Partial,0.201,,"Alaska, n Canada, Greenland"
08-09-1953,Partial,0.373,,"s Chile, s Argentina, Antarctica"
01-05-1954,Annular,0.972,01m42s,"s Pacific, New Zealand, Antarctica [Annular: Antarctica]"
06-30-1954,Total,1.036,02m35s,"c & e US, Canada, Caribbean, n Africa, Europe, w Asia [Total: n US, e Canada, Greenland, Iceland, Norway, Sweden, Belarus, Ukraine, Russia, Iran, Afghan., Pak., India]"
12-25-1954,Annular,0.932,07m39s,"s Africa, Indian Ocean, se Asia, Australia [Annular: Namibia, S. Africa, Indian Ocean, Indonesia]"
06-20-1955,Total,1.078,07m08s,"e Africa, e Asia, East Indies, n Australia [Total: Sri Lanka, Myanmar, Thailand, Laos, Cambodia, Vietnam, Philippines]"
12-14-1955,Annular,0.918,12m09s,"c & e Africa, Mid East, Asia, East Indies [Annular: Chad, Sudan, Ethiopia, Somalia, Myanmar, Thailand, Laos, Vietnam, se China]"
06-08-1956,Total,1.058,04m45s,"New Zealand, Pacific [Total: s Pacific]"
12-02-1956,Partial,0.805,,"Europe, n Africa, Mid East, c Asia"
04-19-1958,Annular,0.941,07m07s,"Asia, East Indies, Pacific [Annular: Myanmar, Thailand, Laos, Cambodia, Vietnam, China, Japan]"
10-12-1958,Total,1.061,05m11s,"Australia, New Zealand, Pacific, sw S. America [Total: Pacific, Chile, Argentina]"
04-08-1959,Annular,0.94,07m26s,"East Indies, Australia, New Zealand, Pacific [Annular: Australia]"
10-02-1959,Total,1.033,03m02s,"e N. America, Europe, Africa, w Asia [Total: ne US, W. Sahara, Mauritania, Mali, Niger, Nigeria, Chad, Sudan, Ethiopia, Somalia]"
03-27-1960,Partial,0.706,,"Antarctica, s Indian, Australia"
09-20-1960,Partial,0.614,,"ne Asia, N. America"
02-15-1961,Total,1.036,02m45s,"Europe, n Africa, Asia [Total: France, Italy, Yugoslavia, Romania, Ukraine, Russia]"
08-11-1961,Annular,0.938,06m35s,"Brazil, s Atlantic, s Africa, Antarctica [Annular: Antarctica]"
02-05-1962,Total,1.043,04m08s,"e Asia, East Indies, Australia, Pacific, w US [Total: Indonesia, Papua New Guinea, Pacific]"
07-31-1962,Annular,0.972,03m33s,"ne S. America, sw Europe, Africa [Annular: Venezuela, Guyana, French Guyana, Senegal, Mali, Burkina Faso, Togo, Benin, Nigeria, Cameroon, Congo, Dem. Rep. Congo, Tanzania, Madagascar]"
01-25-1963,Annular,0.995,00m25s,"s S. America, s Africa, Antarctica [Annular: Chile, Argentina, S. Africa, Madagascar]"
07-20-1963,Total,1.022,01m40s,"ne Asia, N. America, C. America [Total: Japan, n Pacific, Alaska, n Canada, e Canada, Maine]"
01-14-1964,Partial,0.559,,Antarctica
06-10-1964,Partial,0.754,,"Australia, New Zealand"
07-09-1964,Partial,0.322,,"n N. America, N. Pole, ne Asia"
12-04-1964,Partial,0.752,,"ne Asia, Pacific"
05-30-1965,Total,1.054,05m15s,"New Zealand, Pacific, C. America, w S. America [Total: New Zealand, Pacific, Peru]"
11-23-1965,Annular,0.966,04m02s,"Asia, East Indies, Australia, Pacific [Annular: Afghanistan, Pakistan, India, Nepal, Myanmar, Thailand,Cambodia, Vietnam, Malaysia, Indonesia, Papua New Guinea]"
05-20-1966,Annular,0.999,00m05s,"Europe, n Africa, Asia [Annular: Guinea, Mali, Algeria, Libya, Greece, Turkey, Russia, China]"
11-12-1966,Total,1.023,01m57s,"C. America, S. America, s Africa [Total: Peru, Chile, Bolivia, Argentina, Uruguay, Brazil]"
05-09-1967,Partial,0.72,,"N. America, N. Pole, Asia"
03-28-1968,Partial,0.899,,"Antarctica, Pacific"
09-22-1968,Total,1.01,00m40s,"Europe, ne Africa, c Asia [Total: Russia, Kazakhstan, China]"
03-18-1969,Annular,0.995,00m26s,"se Asia, East Indies, Australia, w Pacific"
09-11-1969,Annular,0.969,03m11s,"Americas [Annular: Pacific, Peru, Bolivia, Brazil]"
03-07-1970,Total,1.041,03m28s,"N. America, C. America, nw S. America [Total: Pacific, Mexico, e US, e Canada]"
08-31-1970,Annular,0.94,06m48s,"Papua New Guinea, e Australia, New Zealand, Pacific [Annular: Papua New Guinea, Pacific]"
02-25-1971,Partial,0.787,,"Europe, nw Africa, w Asia"
07-22-1971,Partial,0.069,,"ne Asia, n Alaska"
08-20-1971,Partial,0.508,,"e Australia, New Zealand, s Pacific"
01-16-1972,Annular,0.969,01m53s,"s S. America, Antarctica [Annular: Antarctica]"
07-10-1972,Total,1.038,02m36s,"ne Asia, N. America, n S. America [Total: ne Russia, Alaska, Canada]"
01-04-1973,Annular,0.93,07m49s,"S. America, w Africa, Antarctica [Annular: Pacific, Chile, Argentina, Atlantic]"
06-30-1973,Total,1.079,07m04s,"e S. America, s Europe, Africa, Mid East [Total: Guyana, Suriname, Mauritania, Mali, Niger, Chad,Sudan, Uganda, Kenya]"
12-24-1973,Annular,0.917,12m02s,"e N. America, S. America, w Europe, w Africa [Annular: Mexico, Costa Rica, Panama, Colombia, Venezuela,Brazil, Mauritania, Algeria]"
06-20-1974,Total,1.059,05m09s,"Madagascar, East Indies, Australia [Total: s Indian Ocean, sw Australia]"
12-13-1974,Partial,0.827,,"N. America, n S. America"
05-11-1975,Partial,0.864,,"Greenland, Europe, n Africa, n Asia,"
11-03-1975,Partial,0.959,,"s S. America, Antarctica"
04-29-1976,Annular,0.942,06m41s,"Europe, Africa, Asia [Annular: Senegal, Mauritania, Mali, Algeria, Libya,Greece, Turkey, Armenia, Azerbaijan, Iran, Afghanistan,Pakistan, Tajikistan, Kyrgistan, China]"
10-23-1976,Total,1.057,04m46s,"e Africa, India, E. Indies, Australia, New Zealand [Total: Tanzania, se Australia]"
04-18-1977,Annular,0.945,07m04s,"Africa, s Asia [Annular: Namibia, Angola, D. R. Congo, Zambia, Tanzania]"
10-12-1977,Total,1.027,02m37s,"N. America, nw S. America [Total: Pacific, Colombia, Venezuela]"
04-07-1978,Partial,0.788,,"s S. America, s Africa, Antarctica"
10-02-1978,Partial,0.69,,"Scandinavia, n & e Asia"
02-26-1979,Total,1.039,02m49s,"N. & C. America, nw Europe [Total: nw US, c Canada, Greenland]"
08-22-1979,Annular,0.933,06m03s,"s S. America, Antarctica [Annular: Antarctica, s Pacific]"
02-16-1980,Total,1.043,04m08s,"Africa, s Asia [Total: Angola, D. R. Congo, Tanzania,Kenya, India, Myanmar, China]"
08-10-1980,Annular,0.973,03m23s,"sw N. America, C. & S. America [Annular: Pacific, Peru, Bolivia, Paraguay, Brazil]"
02-04-1981,Annular,0.994,00m33s,"Australia, New Zealand, Antarctica, w S. America [Annular: Tasmania, New Zealand, s Pacific]"
07-31-1981,Total,1.026,02m02s,"e Europe, Asia, Alaska, nw Canada [Total: Kazakhstan, Russia, n Pacific]"
01-25-1982,Partial,0.566,,"New Zealand, Antarctica"
06-21-1982,Partial,0.617,,"s Atlantic, s Africa"
07-20-1982,Partial,0.464,,"ne Asia, n N. America, nw Europe"
12-15-1982,Partial,0.735,,"Europe, ne Africa, c Asia"
06-11-1983,Total,1.052,05m11s,"se Asia, East Indies, Australia [Total: Indonesia, Papua New Guinea]"
12-04-1983,Annular,0.967,04m01s,"ns S. America, Africa, s Europe [Annular: Gabon, Congo, D. R. Congo, Uganda, Kenya, Ethiopia, Somalia]"
05-30-1984,Annular,0.998,00m11s,"N. & C. America, Europe, nw Africa [Annular: Mexico, se US, Morocco, Algeria]"
11-22-1984,Total,1.024,02m00s,"East Indies, Australia, New Zealand, Antarctica [Total: Papua New Guinea, s Pacific]"
05-19-1985,Partial,0.841,,"ne Asia, n N. America"
11-12-1985,Total,1.039,01m59s,"s S. America, Antarctica [Total: s Pacific, Antarctica]"
04-09-1986,Partial,0.824,,"East Indies, Australia, Antarctica"
10-03-1986,Hybrid,1.0,00m00s,"N. & C. America, n S America [Hybrid: n Atlantic]"
03-29-1987,Hybrid,1.001,00m08s,"s S. America, Africa, Mid East [Hybrid: Argentina, Gabon, Cameroon, C. A. Rep., Sudan, Ethiopia, Somalia]"
09-23-1987,Annular,0.963,03m49s,"Asia, East Indies, Australia [Annular: Kazakhstan, Russia, Mongolia, China]."
03-18-1988,Total,1.046,03m46s,"e Asia, East Indies, Australia, Alaska [Total: Malaysia, Indonesia, Philippines, Pacific]"
09-11-1988,Annular,0.938,06m57s,"e Africa, s Asia, Australia [Annular: Indian Ocean]."
03-07-1989,Partial,0.827,,w N. America
08-31-1989,Partial,0.634,,"s Africa, Antarctica"
01-26-1990,Annular,0.967,02m03s,"s S. America, Antarctica [Annular: Antarctica]"
07-22-1990,Total,1.039,02m33s,"n & c Asia, nw N. America [Total: Finland, n Russia, n Pacific]"
01-15-1991,Annular,0.929,07m53s,"Australia, N.Z., Antarctica, s Pacific [Annular: sw Australia, Tasmania, N.Z., s Pacific]"
07-11-1991,Total,1.08,06m53s,"e Pacific, N. & S. America [Total: Hawaii, Mexico, C. America, Colombia, Brazil]"
01-04-1992,Annular,0.918,11m41s,"n Australia, Pacific, w N. America [Annular: c Pacific, s California]"
06-30-1992,Total,1.059,05m21s,"S. America, s Atlantic, w Africa [Total: Uruguay, s Atlantic]"
12-24-1992,Partial,0.842,,"ne Asia, n Pacific, Alaska"
05-21-1993,Partial,0.735,,"w N. America, n Europe, nw Asia"
11-13-1993,Partial,0.928,,"s Australia, N.Z., Antarctica, s S. America"
05-10-1994,Annular,0.943,06m13s,"e Pacific, N. America, Europe, w Africa [Annular: Pacific, c U.S., e Canada, Morocco]"
11-03-1994,Total,1.054,04m23s,"S. America, Antarctica, s Atlantic s Africa [Total: Peru, Chile, Bolivia, Paraguay, Brazil]"
04-29-1995,Annular,0.95,06m37s,"s Pacific, C. & S. America, Atlantic [Annular: s Pacific, Ecuador, Peru, Colombia, Brazil]"
10-24-1995,Total,1.021,02m10s,"Middle East, Asia, Indonesia, Australia [Total: Iran, India, Thailand, se Asia]"
04-17-1996,Partial,0.88,,"N. Zealand, s Pacific Ocean"
10-12-1996,Partial,0.757,,"ne N. America, Europe, n Africa"
03-09-1997,Total,1.042,02m50s,"Asia, Alaska [Total: Mongolia, China, Siberia]"
09-02-1997,Partial,0.899,,"Australia, N. Zealand, Antarctica"
02-26-1998,Total,1.044,04m09s,"N., C. & S. America [Total: Galapagos, Colombia, Venezuela, Caribbean]"
08-22-1998,Annular,0.973,03m14s,"Asia, Australia, N. Zealand [Annular: Sumatra, Borneo, Pacific]"
02-16-1999,Annular,0.993,00m40s,"s Africa, Antarctica, Australia, N. Z. [Annular: s Indian, Australia]."
08-11-1999,Total,1.029,02m23s,"e N. America, n Africa, Europe, Asia [Total: England, Europe, Middle East, Turkey, India]"
02-05-2000,Partial,0.579,,Antarctica
07-01-2000,Partial,0.477,,"S Pacific Ocean, s S. America"
07-31-2000,Partial,0.603,,"n Asia, nw N. America"
12-25-2000,Partial,0.723,,N. & C. America
06-21-2001,Total,1.05,04m57s,"e S. America, Africa [Total: s Atlantic, s Africa, Madagascar]"
12-14-2001,Annular,0.968,03m53s,"N. & C. America, nw S. America [Annular: c Pacific, Costa Rica]"
06-10-2002,Annular,0.996,00m23s,"e Asia, Australia, w N. America [Annular: n Pacific, w Mexico]"
12-04-2002,Total,1.024,02m04s,"s Africa, Antarctica, Indonesia, Australia [Total: s Africa, s Indian, s Australia]"
05-31-2003,Annular,0.938,03m37s,"Europe, Asia, nw N. America [Annular: Iceland, Greenland]"
11-23-2003,Total,1.038,01m57s,"Australia, N. Z., Antarctica, s S. America [Total: Antarctica]"
04-19-2004,Partial,0.737,,"Antarctica, s Africa"
10-14-2004,Partial,0.928,,"ne Asia, Hawaii, Alaska"
04-08-2005,Hybrid,1.007,00m42s,"N. Zealand, N. & S. America [Hybrid: s Pacific, Panama, Colombia, Venezuela]"
10-03-2005,Annular,0.958,04m32s,"Europe, Africa, s Asia [Annular: Portugal, Spain, Libia, Sudan, Kenya]"
03-29-2006,Total,1.052,04m07s,"Africa, Europe, w Asia [Total: c Africa, Turkey, Russia]"
09-22-2006,Annular,0.935,07m09s,"S. America, w Africa, Antarctica [Annular: Guyana, Suriname, F. Guiana, s Atlantic]"
03-19-2007,Partial,0.876,,"Asia, Alaska"
09-11-2007,Partial,0.751,,"S. America, Antarctica"
02-07-2008,Annular,0.965,02m12s,"Antarctica, e Australia, N. Zealand [Annular: Antarctica]"
08-01-2008,Total,1.039,02m27s,"ne N. America, Europe, Asia [Total: n Canada, Greenland, Siberia, Mongolia, China]"
01-26-2009,Annular,0.928,07m54s,"s Africa, Antarctica, se Asia, Australia [Annular: s Indian, Sumatra, Borneo]"
07-22-2009,Total,1.08,06m39s,"e Asia, Pacific Ocean, Hawaii [Total: India, Nepal, China, c Pacific]"
01-15-2010,Annular,0.919,11m08s,"Africa, Asia [Annular: c Africa, India, Burma, China]"
07-11-2010,Total,1.058,05m20s,"s S. America [Total: s Pacific, Easter Is., Chile, Argentina]"
01-04-2011,Partial,0.858,,"Europe, Africa, c Asia"
06-01-2011,Partial,0.601,,"e Asia, n N. America, Iceland"
07-01-2011,Partial,0.097,,s Indian Ocean
11-25-2011,Partial,0.905,,"s Africa, Antarctica, Tasmania, N.Z."
05-20-2012,Annular,0.944,05m46s,"Asia, Pacific, N. America [Annular: China, Japan, Pacific, w U.S.]"
11-13-2012,Total,1.05,04m02s,"Australia, N.Z., s Pacific, s S. America [Total: n Australia, s Pacific]"
05-10-2013,Annular,0.954,06m03s,"Australia, N.Z., c Pacific [Annular: n Australia, Solomon Is., c Pacific]"
11-03-2013,Hybrid,1.016,01m40s,"e Americas, s Europe, Africa [Hybrid: Atlantic, c Africa]"
10-23-2014,Partial,0.811,,"n Pacific, N. America"
03-20-2015,Total,1.045,02m47s,"Iceland, Europe, n Africa, n Asia [Total: n Atlantic, Faeroe Is, Svalbard]"
09-13-2015,Partial,0.788,,"s Africa, s Indian, Antarctica"
03-09-2016,Total,1.045,04m09s,"e Asia, Australia, Pacific [Total: Sumatra, Borneo, Sulawesi, Pacific]"
09-01-2016,Annular,0.974,03m06s,"Africa, Indian Ocean [Annular: Atlantic, c Africa, Madagascar, Indian]"
02-26-2017,Annular,0.992,00m44s,"s S. America, Atlantic, Africa, Antarctica [Annular: Pacific, Chile, Argentina, Atlantic, Africa]"
08-21-2017,Total,1.031,02m40s,"N. America, n S. America [Total: n Pacific, U.S., s Atlantic]"
02-15-2018,Partial,0.599,,"Antarctica, s S. America"
07-13-2018,Partial,0.336,,s Australia
08-11-2018,Partial,0.737,,"n Europe, ne Asia"
01-06-2019,Partial,0.715,,"ne Asia, n Pacific"
07-02-2019,Total,1.046,04m33s,"s Pacific, S. America [Total: s Pacific, Chile, Argentina]"
12-26-2019,Annular,0.97,03m39s,"Asia, Australia [Annular: Saudi Arabia, India, Sumatra, Borneo]"
06-21-2020,Annular,0.994,00m38s,"Africa, se Europe, Asia [Annular: c Africa, s Asia, China, Pacific]"
12-14-2020,Total,1.025,02m10s,"Pacific, s S. America, Antarctica [Total: s Pacific, Chile, Argentina, s Atlantic]"
06-10-2021,Annular,0.943,03m51s,"n N. America, Europe, Asia [Annular: n Canada, Greenland, Russia]"
12-04-2021,Total,1.037,01m54s,"Antarctica, S. Africa, s Atlantic [Total: Antarctica]"
04-30-2022,Partial,0.64,,"se Pacific, s S. America"
10-25-2022,Partial,0.862,,"Europe, ne Africa, Mid East, w Asia"
04-20-2023,Hybrid,1.013,01m16s,"se Asia, E. Indies, Australia, Philippines. N.Z. [Hybrid: Indonesia, Australia, Papua New Guinea]"
10-14-2023,Annular,0.952,05m17s,"N. America, C. America, S. America [Annular: w US, C. America, Colombia, Brazil]"
