territory,alpha3,first_day,units,paper
Turkiye,TUR,mon,metric,A4
Turkmenistan,TKM,mon,metric,A4
Turks & Caicos Islands,TCA,mon,metric,A4
Tuvalu,TUV,mon,metric,A4
U.S. Outlying Islands,UMI,sun,metric,A4
U.S. Virgin Islands,VIR,sun,metric,A4
Uganda,UGA,mon,metric,A4
Ukraine,UKR,mon,metric,A4
United Arab Emirates,ARE,sat,metric,A4
United Kingdom,GBR,mon,UK,A4
United States,USA,sun,US,US-Letter
Uruguay,URY,mon,metric,A4
Uzbekistan,UZB,mon,metric,A4
Vanuatu,VUT,mon,metric,A4
Vatican City,VAT,mon,metric,A4
Venezuela,VEN,sun,metric,US-Letter
Vietnam,VNM,mon,metric,A4
Wallis & Futuna,WLF,mon,metric,A4
Western Sahara,ESH,mon,metric,A4
Yemen,YEM,sun,metric,A4
Zambia,ZMB,mon,metric,A4
Zimbabwe,ZWE,sun,metric,A4
